,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1084,0,0,1,1,48,1,0,2,1,1,1,1,1,1,1,0,1,325,28,0
177,0,1,0,0,67,1,0,1,2,0,0,0,0,0,0,0,0,1140,4260,1
4810,0,1,0,0,7,1,2,1,0,2,0,0,0,2,0,0,2,1394,787,1
393,0,0,0,0,11,1,0,2,1,1,1,1,1,1,0,0,3,331,3164,0
3107,0,0,1,0,70,1,2,1,2,2,2,2,2,2,2,1,0,244,6092,0
1075,0,0,1,1,55,1,2,1,0,2,0,2,0,2,0,1,0,1524,4621,0
2653,0,0,1,1,68,1,0,0,2,0,0,2,2,2,2,0,1,1118,4519,0
1317,0,0,0,0,23,1,2,2,1,1,1,1,1,1,0,0,3,388,6241,0
3425,0,0,1,1,21,1,0,1,0,0,0,0,0,0,1,1,0,1027,1598,0
3658,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,2,748,4803,0
1375,0,0,1,1,33,1,0,2,1,1,1,1,1,1,2,1,0,330,6223,0
6633,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,1101,5721,1
321,0,0,1,1,70,0,1,0,0,2,2,2,2,2,2,1,2,847,3633,0
1188,0,0,0,0,29,1,0,1,0,0,2,2,2,2,1,1,2,1570,3060,0
2576,0,0,1,1,49,1,0,1,0,2,2,2,2,2,0,1,0,155,4870,0
37,0,0,0,0,41,1,0,1,0,0,2,0,0,0,0,1,1,1107,3073,0
1795,0,0,1,0,11,1,2,1,0,0,2,0,0,2,0,0,3,1390,1287,1
1328,0,0,1,0,16,1,0,0,0,0,2,2,0,0,0,0,2,748,407,0
5972,0,1,0,0,7,1,2,0,0,0,0,2,0,0,0,0,1,763,5811,1
676,0,0,0,0,43,1,2,2,1,1,1,1,1,1,1,0,0,387,374,0
5421,0,0,0,0,32,1,0,2,1,1,1,1,1,1,2,0,3,334,5733,0
5060,0,0,0,0,10,0,1,0,0,0,2,2,0,0,0,1,2,497,4961,0
6685,0,0,1,0,40,1,0,0,0,0,2,0,0,0,0,1,1,685,1857,0
6180,0,1,0,0,63,1,2,1,2,0,0,0,2,2,2,1,0,44,5197,0
233,0,0,0,0,70,1,0,2,1,1,1,1,1,1,2,0,1,338,1016,0
1379,0,0,0,0,68,0,1,0,2,2,2,2,0,0,2,1,0,601,2656,0
734,0,0,1,0,20,1,2,1,0,0,2,0,0,2,0,0,0,1400,2070,0
4714,0,0,1,1,62,1,2,0,2,2,2,2,2,2,2,1,3,1406,4881,0
1042,0,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,2,1023,90,0
5810,0,0,1,1,9,1,2,1,0,0,0,0,0,2,0,1,2,1308,837,1
3406,0,0,0,0,25,1,0,2,1,1,1,1,1,1,1,0,3,352,5395,0
2110,0,0,0,0,23,1,0,2,1,1,1,1,1,1,0,0,2,337,5207,0
1057,0,0,0,0,2,1,0,1,2,0,0,0,2,0,0,1,3,1293,6146,1
1153,0,0,1,0,48,1,0,0,2,0,2,0,2,0,1,1,3,918,2956,0
6026,0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,1,322,1954,0
50,0,1,0,0,38,1,2,1,0,2,0,0,2,0,0,1,2,1402,3285,0
5574,0,0,0,0,36,1,0,2,1,1,1,1,1,1,0,0,2,342,5891,0
1862,0,1,0,0,48,0,1,0,0,2,2,2,2,0,0,1,2,690,2221,0
6003,0,0,1,0,69,1,2,0,2,2,2,2,2,2,2,0,1,1456,5210,0
435,0,0,0,0,19,0,1,0,0,0,2,2,2,0,0,1,1,598,343,0
3399,0,0,0,0,37,1,2,0,0,0,2,2,2,2,2,1,1,1173,2929,0
2333,0,0,1,1,53,1,2,0,2,2,0,2,0,0,0,0,0,936,3177,0
6151,0,0,0,0,72,1,0,1,0,0,0,0,0,0,0,0,2,1039,5330,1
5653,0,0,0,0,67,1,0,1,0,0,0,0,2,0,0,1,2,1184,4373,1
2323,0,0,0,0,22,1,2,1,0,0,2,0,2,2,0,1,1,1558,2535,1
263,0,0,0,0,25,0,1,0,2,2,0,2,0,2,2,1,0,677,942,0
2963,0,0,1,1,28,1,2,2,1,1,1,1,1,1,1,1,1,408,6360,0
6283,0,0,0,0,23,1,0,1,2,0,2,0,2,2,0,1,1,1565,2477,1
1397,0,0,0,0,34,1,0,1,0,0,2,0,0,2,0,1,1,1257,2773,0
6699,0,0,0,0,50,1,0,2,1,1,1,1,1,1,2,1,3,343,74,0
429,0,0,1,0,65,1,2,0,2,0,0,2,0,0,1,0,0,815,3399,0
5735,0,0,1,1,43,1,0,2,1,1,1,1,1,1,2,0,3,333,6408,0
3381,0,0,0,0,36,1,0,0,2,0,2,2,2,2,1,1,0,1201,2885,0
6833,0,1,0,0,10,1,2,1,0,2,0,2,2,2,0,1,1,66,1354,0
3932,0,1,0,0,12,1,2,1,0,0,2,0,0,0,0,1,2,1175,883,1
1079,0,0,1,1,23,1,0,1,0,0,0,0,0,0,0,1,2,1010,1626,0
2239,0,0,1,1,64,0,1,0,2,0,0,2,0,0,2,0,1,507,2197,0
1302,0,0,1,1,40,1,0,0,2,0,2,2,2,2,2,1,3,1224,3063,0
4189,0,0,1,1,66,1,2,0,2,2,0,2,2,0,1,0,1,1085,4126,0
3422,0,0,0,0,68,0,1,0,2,0,2,2,2,2,2,1,0,816,3598,0
408,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,331,1492,1
79,0,0,1,1,40,1,2,2,1,1,1,1,1,1,1,1,1,414,397,0
4844,0,0,0,1,31,1,0,2,1,1,1,1,1,1,1,0,0,339,5799,0
3934,0,0,0,1,2,0,1,0,2,2,0,2,0,0,1,0,3,551,3501,0
5354,0,0,0,1,1,1,0,1,0,0,0,0,2,2,0,1,2,1384,6300,0
1223,0,0,0,0,12,1,2,1,0,0,0,0,0,0,0,1,2,1129,794,1
3276,0,0,0,0,34,1,0,1,0,0,0,0,0,2,0,1,2,1187,2753,1
4739,0,0,0,0,3,1,2,1,2,0,0,0,0,0,0,1,0,1184,6388,0
468,0,0,0,1,39,1,0,2,1,1,1,1,1,1,2,0,3,331,6263,0
3185,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,397,2148,1
3837,0,0,0,0,34,1,0,1,0,2,2,2,2,2,1,1,2,107,3765,1
3078,0,1,0,0,12,1,2,1,0,0,0,0,2,0,0,1,2,1310,1442,1
3437,0,0,0,0,36,1,2,0,0,2,0,0,0,0,1,1,1,789,2000,0
3103,0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,322,1483,1
6737,0,0,1,0,60,1,2,1,0,2,2,2,2,2,2,1,0,174,5404,0
5749,0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,1575,4832,0
4235,0,1,1,0,52,1,2,1,2,2,2,2,0,0,1,0,2,1505,4544,0
4086,0,0,1,0,70,1,2,0,2,2,2,2,2,0,2,0,1,1188,4495,0
4660,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,323,2698,1
5823,0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,1,3,334,3982,0
6059,0,0,0,0,33,0,1,0,2,2,0,2,0,0,1,1,0,552,1105,0
1287,0,0,1,1,24,1,2,1,0,2,2,2,2,2,0,1,2,142,2822,0
4359,0,0,0,0,16,1,2,1,0,2,0,0,2,2,0,1,1,1560,1882,0
5612,0,0,0,0,40,1,0,0,2,2,0,2,0,0,1,1,1,892,2423,0
1061,0,1,1,0,70,1,2,1,2,2,2,0,2,2,2,1,2,227,6039,0
2351,0,0,0,0,44,1,0,0,2,2,2,2,0,0,2,0,0,971,2871,0
711,0,0,1,0,13,1,0,1,0,0,2,2,0,0,0,1,3,1224,1179,0
2704,0,0,1,1,49,1,0,0,0,0,2,0,0,2,1,0,1,859,2860,0
3263,0,0,1,1,48,1,0,1,0,2,2,2,0,0,0,0,0,1315,3766,0
970,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,1408,6324,1
2299,0,0,0,0,43,1,0,0,2,2,0,0,0,0,2,0,1,773,2276,0
2954,0,0,0,0,67,1,2,1,0,0,0,0,0,0,0,0,3,1120,4056,1
3782,0,0,0,1,4,1,2,1,0,0,0,0,2,0,0,1,2,1280,6477,0
5642,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,3,323,3447,0
5477,0,0,1,1,70,1,2,0,2,0,2,2,2,2,2,1,0,1283,4904,0
5314,0,0,1,0,68,0,1,0,2,2,2,2,2,2,2,0,0,923,3832,0
3149,0,0,0,0,71,1,0,0,0,0,2,2,0,2,0,0,3,914,4270,0
3592,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,622,3821,1
5489,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,400,2789,0
3289,0,0,0,1,36,1,2,1,0,2,0,0,2,0,0,1,0,1367,3146,0
5010,0,0,0,0,58,1,2,0,0,2,2,2,2,2,2,0,1,1370,4449,0
4096,0,0,0,0,13,1,0,1,2,0,2,0,2,0,0,1,0,1385,1444,0
3910,0,0,0,0,42,1,2,1,0,2,2,0,2,2,0,1,2,122,4317,1
2509,0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,1,0,401,1401,0
3295,0,0,1,1,70,1,2,0,2,2,2,2,2,0,2,0,0,1208,4716,0
5404,0,0,0,0,41,1,0,1,2,2,2,0,2,0,1,1,1,1505,3945,0
3063,0,0,0,0,31,1,2,1,0,0,2,0,2,2,0,1,2,1,3268,0
6580,0,0,1,1,44,1,0,0,0,2,2,0,2,2,1,0,1,1164,3274,0
2692,0,0,0,0,15,1,0,0,2,0,0,0,0,0,0,1,2,676,94,0
6534,0,1,0,0,49,1,0,1,2,2,0,2,0,2,1,1,3,1526,4361,0
2585,0,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,3,329,6077,0
2683,0,0,0,0,67,1,2,1,2,0,0,0,0,0,0,1,3,1197,4940,1
842,0,0,1,1,4,1,0,2,1,1,1,1,1,1,1,0,0,329,1932,1
2572,0,0,1,0,69,1,2,2,1,1,1,1,1,1,2,0,0,396,1276,0
1820,0,0,1,0,56,1,0,0,0,0,0,0,0,0,0,0,3,622,2809,0
5107,0,0,1,0,42,1,0,0,0,2,0,0,2,0,0,1,0,821,2366,0
2746,0,0,1,1,25,1,0,2,1,1,1,1,1,1,2,0,3,353,5485,0
503,0,0,1,1,48,1,0,1,2,0,2,2,0,0,0,1,0,1280,3681,0
6248,0,0,1,0,57,0,1,0,0,2,2,2,2,2,2,0,1,863,3120,0
3045,0,0,1,0,43,1,0,0,0,2,2,0,0,2,1,1,2,945,2692,0
4527,0,0,0,0,33,1,0,1,0,0,2,2,0,0,2,1,2,1213,2783,1
585,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,1313,6213,1
937,0,0,0,0,56,1,2,1,2,0,0,0,0,0,0,1,2,1185,3690,1
4047,0,0,1,0,61,1,2,1,2,0,2,0,2,0,2,1,1,1484,4875,0
3573,0,0,1,1,21,1,0,2,1,1,1,1,1,1,0,1,0,324,4509,0
5819,0,0,1,1,68,1,2,1,2,2,2,2,2,2,2,1,1,267,6115,0
169,0,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,2,341,2790,0
5533,0,1,0,0,14,1,2,1,0,0,0,0,2,2,0,1,0,1500,1659,0
1916,0,0,0,0,39,1,2,1,0,2,2,0,0,0,0,1,0,1295,3304,1
5048,0,1,1,0,50,1,0,1,0,0,2,2,2,2,1,1,2,1567,4518,0
1025,0,1,1,0,57,1,0,1,2,2,2,2,2,2,2,1,0,188,5296,0
4205,0,0,1,1,17,1,2,0,2,0,2,0,2,2,2,0,1,1176,1407,0
6621,0,0,1,1,41,1,0,2,1,1,1,1,1,1,2,0,1,321,6461,0
3948,0,0,1,1,52,1,0,1,0,0,0,0,2,2,1,0,0,1375,4203,0
2691,0,0,0,0,67,1,0,0,2,0,0,0,0,2,1,1,2,830,3182,0
1650,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,3,1315,6214,1
2412,0,0,1,0,37,0,1,0,0,2,0,2,0,0,1,0,3,473,827,1
3494,0,0,1,1,72,1,2,1,0,0,0,0,2,0,0,1,0,1306,5793,1
3968,0,0,1,0,70,1,0,2,1,1,1,1,1,1,2,0,0,334,780,0
4652,0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,1,1,326,4041,0
6131,0,1,0,0,42,1,2,1,0,2,0,2,2,0,0,1,2,1493,3831,1
6178,0,1,1,0,50,1,0,2,1,1,1,1,1,1,2,1,3,312,65,0
5128,0,1,1,0,42,1,2,1,0,0,2,0,2,2,0,0,2,1579,4014,0
733,0,0,1,1,70,1,2,1,2,0,0,0,0,0,2,0,0,1185,4733,0
3601,0,0,1,1,51,1,0,2,1,1,1,1,1,1,0,0,1,333,169,0
2149,0,0,0,0,41,1,2,1,0,0,2,0,2,2,1,1,2,22,3956,0
2087,0,0,0,0,34,0,1,0,2,2,0,0,0,0,0,1,2,475,667,1
6076,0,0,1,1,62,1,0,0,2,2,2,0,0,0,1,0,0,874,3314,0
4936,0,1,0,0,40,1,2,1,2,2,0,2,2,0,0,1,2,1532,3723,0
4689,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,2,331,4703,0
2118,0,0,1,1,15,1,0,1,0,0,0,0,0,2,0,1,2,1207,1331,0
5067,0,0,1,1,24,1,0,0,2,0,0,2,0,2,0,0,0,957,1521,0
2676,0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,3,340,5029,0
5682,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,493,3028,0
1219,0,0,1,1,59,1,2,0,0,0,0,0,2,2,0,1,1,1028,3662,0
2851,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,1,3,1409,4796,0
3319,0,0,0,0,12,1,0,0,2,0,0,0,2,2,0,1,2,1034,850,1
6586,0,0,1,1,40,1,2,2,1,1,1,1,1,1,2,1,1,389,320,0
3240,0,0,1,0,50,1,2,1,2,2,0,0,2,2,1,0,0,125,4759,1
1599,0,0,1,1,68,1,0,0,0,2,2,2,2,2,2,1,0,1212,4718,0
3639,0,1,1,0,57,1,2,1,0,0,2,0,2,2,1,1,1,10,4932,0
6269,0,0,0,0,29,0,1,0,0,0,2,2,0,0,0,1,3,471,328,0
2445,0,0,1,1,20,1,0,1,2,0,0,0,0,0,0,0,3,1099,1577,0
4251,0,0,1,1,17,0,1,0,2,2,2,2,0,2,2,1,3,722,379,0
1410,0,1,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,1469,1198,1
6388,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,341,1614,1
80,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,1191,5966,1
1174,0,0,0,0,6,1,2,0,0,2,0,0,0,0,1,1,3,748,5884,0
6267,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1021,5503,1
5844,0,0,1,0,12,1,0,1,0,0,0,0,0,0,0,1,1,1027,975,0
95,0,0,0,0,4,1,2,1,2,0,0,0,0,0,0,1,2,1183,6384,1
2405,0,0,1,1,71,1,0,1,0,0,2,0,2,2,0,1,2,1476,5898,1
5251,0,1,0,0,45,1,0,1,0,0,0,0,0,0,0,1,3,1000,2761,1
6309,0,0,1,0,69,1,2,2,1,1,1,1,1,1,2,0,1,408,1463,0
4264,0,1,0,0,41,1,2,1,0,2,2,0,2,2,0,1,2,83,4107,0
4198,0,0,1,1,48,1,2,2,1,1,1,1,1,1,2,0,3,362,467,0
5916,0,0,0,0,70,1,2,1,2,2,2,2,2,2,2,1,1,230,6097,0
1867,0,0,0,0,23,1,0,1,0,2,0,0,2,0,0,0,2,1274,2120,1
1020,0,0,1,1,33,1,0,0,2,0,0,0,0,0,0,0,1,701,1690,0
2627,0,0,0,0,27,1,2,2,1,1,1,1,1,1,2,0,1,410,6117,0
7036,0,0,0,0,4,0,1,0,0,2,2,2,2,2,1,0,2,860,5741,0
5792,0,1,0,0,7,1,0,1,2,0,2,2,0,2,0,1,3,1518,791,1
6085,0,0,0,0,23,1,2,0,0,0,0,0,0,0,0,1,3,693,924,1
3196,0,0,0,0,23,1,0,2,1,1,1,1,1,1,1,0,3,338,5567,0
457,0,0,1,1,24,1,0,0,0,2,2,2,2,2,2,0,0,1220,2004,0
6137,0,0,0,0,45,1,0,0,2,0,0,2,0,0,0,0,1,740,2242,1
1393,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,340,1613,0
1056,0,0,0,0,45,1,0,1,0,0,0,0,0,2,0,1,2,1204,3513,1
4789,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1041,5565,1
5045,0,0,0,0,29,1,2,1,0,0,0,2,0,0,0,0,1,1205,2449,0
6812,0,1,0,0,40,1,0,1,2,2,0,2,0,0,0,1,0,1313,3243,0
1242,0,0,1,0,14,0,1,0,2,0,0,0,0,0,0,0,2,429,5081,0
3458,0,0,0,0,19,1,0,1,0,0,0,0,2,2,0,1,0,1373,1910,1
534,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,1299,6206,1
2184,0,1,0,0,12,1,2,1,0,0,2,0,0,2,0,1,2,1368,1325,1
2249,0,0,0,0,3,1,0,0,0,0,0,2,2,2,0,0,3,1029,6128,0
2663,0,0,1,0,55,1,2,1,2,2,2,0,2,2,1,1,1,172,5240,0
3464,0,0,1,0,25,1,0,1,0,2,0,0,0,2,0,1,0,1276,2327,0
5525,0,0,1,1,50,1,2,2,1,1,1,1,1,1,1,1,0,391,624,0
1041,0,0,0,1,8,1,0,2,1,1,1,1,1,1,1,1,0,319,3117,0
5863,0,0,0,0,14,1,2,1,0,0,0,0,2,2,0,1,2,1536,1746,1
3153,0,0,0,0,16,1,2,0,2,0,0,0,0,0,0,0,2,751,453,0
2594,0,0,1,0,62,1,2,1,0,2,2,2,2,2,2,1,0,145,5560,0
6004,0,0,1,1,64,1,0,1,2,2,2,0,0,0,1,0,0,1295,4633,0
538,0,0,1,0,66,1,0,1,0,2,0,0,2,2,1,1,1,1505,5344,0
3844,0,0,0,0,29,1,2,0,2,0,2,2,2,2,1,1,1,1318,2706,1
996,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,1,1,1019,2059,1
5678,0,0,0,1,1,1,0,0,2,2,0,2,0,0,0,1,2,847,4910,1
2245,0,0,1,0,66,1,2,1,0,0,2,2,2,2,2,0,0,101,5639,0
19,0,0,0,0,14,1,0,1,0,2,2,0,0,2,0,1,2,1398,1433,0
3346,0,1,0,0,12,1,2,1,0,0,0,0,0,2,0,1,2,1280,1428,0
5595,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,321,4981,0
1665,0,0,0,0,72,1,2,1,0,0,0,0,0,0,0,1,2,1147,5281,0
6859,0,0,0,0,69,1,2,1,2,2,2,2,2,2,2,0,3,211,6006,0
6072,0,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,309,2165,0
4837,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,1015,5452,1
736,0,0,0,0,24,1,2,1,0,2,2,2,2,2,1,0,1,196,2888,0
4505,0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,1,3,416,1298,0
469,0,0,1,1,5,1,0,0,0,0,0,0,0,2,0,0,2,782,5689,1
4229,0,1,1,0,70,1,2,1,2,2,2,2,2,2,2,1,1,273,6190,0
5094,0,0,0,0,62,1,2,1,2,2,0,2,0,0,1,1,2,1394,4812,0
2399,0,0,1,0,4,0,1,0,0,0,2,0,2,2,0,1,0,677,5028,0
6964,0,0,1,0,44,0,1,0,0,2,0,2,2,2,1,1,1,789,2410,0
1737,0,0,1,0,67,1,0,0,0,0,0,0,0,0,0,1,3,594,2721,0
3484,0,1,1,0,32,1,0,1,2,0,0,0,0,2,0,1,2,1268,2736,0
1467,0,0,0,0,16,1,2,0,0,0,0,2,2,2,1,1,3,1086,1279,0
1978,0,0,0,0,53,1,0,0,0,2,2,2,2,0,2,0,3,1014,3335,0
800,0,1,1,0,68,1,2,1,0,0,0,0,0,0,2,1,1,1124,4501,0
6880,0,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,0,400,1321,0
5942,0,0,1,0,72,0,1,0,0,0,2,0,2,2,0,1,2,655,3756,1
6606,0,0,1,0,32,1,2,1,0,0,2,2,2,2,0,1,2,94,3445,1
6539,0,0,1,0,19,1,0,0,0,2,0,2,2,2,0,1,2,1073,1562,0
2949,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,1,1,852,2854,0
1615,0,0,1,0,44,1,0,2,1,1,1,1,1,1,1,1,0,334,6376,0
5763,0,0,0,0,23,1,0,1,0,0,0,0,0,0,0,1,2,1024,1933,0
3651,0,1,1,0,68,1,0,2,1,1,1,1,1,1,2,1,1,324,855,0
1888,0,0,0,0,16,1,0,0,0,2,2,0,0,0,1,0,0,779,595,0
706,0,0,0,0,62,1,0,0,2,2,0,2,0,0,2,1,3,839,3216,0
6088,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,771,4563,1
625,0,0,1,0,18,1,0,1,0,0,0,2,2,2,0,1,2,1495,2033,0
1718,0,0,0,0,9,1,0,2,1,1,1,1,1,1,1,0,0,331,2807,0
5245,0,0,1,1,68,1,0,2,1,1,1,1,1,1,2,1,1,336,752,0
1244,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,321,2494,1
1005,0,1,1,0,49,1,2,1,0,0,0,0,2,2,1,1,1,1509,4247,0
1261,0,0,1,0,12,1,0,1,2,0,0,2,0,0,0,1,2,1207,1543,0
1078,0,1,0,0,55,1,2,1,0,2,0,0,0,0,2,1,1,1188,3900,0
156,0,0,0,0,15,1,2,1,0,0,0,0,2,0,0,1,0,1282,1378,0
4656,0,0,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,1127,1080,0
4411,0,0,1,0,53,0,1,0,2,0,2,2,0,2,0,1,0,678,2412,0
2077,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1045,5569,1
6634,0,0,1,1,2,1,2,1,0,2,2,0,2,2,0,1,1,40,132,1
425,0,1,1,0,51,1,2,0,0,0,0,0,0,0,0,0,0,713,2450,0
6994,0,0,1,1,38,1,2,2,1,1,1,1,1,1,1,1,0,385,6518,0
3617,0,1,1,0,10,0,1,0,0,0,2,0,2,2,0,1,2,648,6064,1
2623,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,0,1,1215,1453,0
447,0,0,1,1,48,1,2,2,1,1,1,1,1,1,2,1,0,397,498,0
3698,0,0,0,0,55,1,2,1,0,2,2,0,0,0,0,1,2,1264,4193,0
2210,0,0,0,0,66,1,2,1,0,0,2,2,2,2,2,0,2,74,5532,0
3973,0,0,1,1,38,0,1,0,2,0,2,2,2,2,1,1,1,855,2289,0
2934,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,0,321,1583,0
6569,0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,3,323,1084,0
3692,0,0,1,1,23,1,2,0,0,2,2,0,2,0,0,1,0,1002,1986,0
2771,0,0,1,1,5,1,0,0,2,0,2,0,0,2,0,1,3,899,6084,0
1199,0,0,1,0,9,1,2,1,2,0,0,0,0,0,0,0,2,1182,637,0
5941,0,0,0,0,30,0,1,0,0,2,0,2,0,0,0,1,0,491,490,0
93,0,0,0,0,62,1,2,1,2,2,2,0,2,2,0,1,1,206,5575,0
5756,0,0,0,0,49,1,0,2,1,1,1,1,1,1,2,0,1,330,95,0
4456,0,0,1,0,65,1,2,2,1,1,1,1,1,1,2,1,1,395,1079,0
2432,0,1,1,0,46,1,2,2,1,1,1,1,1,1,1,0,2,400,562,0
3460,0,0,1,0,43,1,0,1,0,0,2,2,2,2,0,1,1,1,4082,0
1034,0,0,1,0,69,1,0,0,2,0,2,2,2,2,2,0,0,1241,4859,0
6284,0,0,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,1462,1976,0
2835,0,1,0,0,63,1,2,0,2,2,0,2,0,0,1,1,1,909,3567,0
2031,0,0,1,1,45,0,1,0,0,0,0,0,0,0,0,0,3,397,455,0
1559,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,340,3816,0
2592,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,322,2107,0
6156,0,1,0,0,19,1,0,1,2,0,0,0,2,0,0,1,1,1315,1815,0
4615,0,0,1,0,70,1,2,0,2,2,0,2,0,0,2,0,0,927,4059,0
3262,0,0,1,1,28,1,2,1,0,0,2,0,2,0,0,0,2,1348,2480,1
4334,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,2,1139,6167,0
334,0,0,0,0,12,1,2,1,0,0,2,0,0,0,0,0,3,1216,988,1
4507,0,0,0,0,71,1,0,0,2,0,0,2,0,2,0,0,0,952,4740,0
5400,0,0,0,0,27,1,0,1,0,0,0,0,0,0,0,1,0,1027,2052,0
2705,0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,0,0,409,1462,0
23,0,0,1,0,54,1,2,0,0,2,0,2,0,0,2,1,1,845,3041,0
4401,0,1,1,1,41,1,2,1,2,2,0,2,2,2,0,1,2,192,4207,0
