,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1149,1,0,1,1,5,1,0,1,0,0,2,0,2,2,0,1,3,1524,305,1
2903,1,0,1,1,4,0,1,0,0,2,0,2,0,0,0,0,3,503,3675,0
4333,1,0,1,0,25,1,2,1,2,2,0,2,0,0,0,1,1,1408,2529,0
2977,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,323,1484,0
2678,1,0,0,0,24,1,0,2,1,1,1,1,1,1,1,0,3,327,5065,0
2579,1,0,0,0,43,1,0,2,1,1,1,1,1,1,2,0,1,336,6504,0
3172,1,0,0,1,18,1,0,1,0,2,0,0,2,2,0,1,2,1510,2100,1
2638,1,0,0,0,48,1,0,1,0,2,2,2,2,2,1,1,0,94,4506,1
4464,1,0,0,0,4,1,0,1,2,0,2,0,0,0,0,0,0,1238,6237,1
535,1,0,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,1388,42,0
3802,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,333,1606,0
2167,1,1,1,0,5,1,2,1,0,0,0,0,2,2,0,1,2,1497,428,1
6010,1,0,1,1,17,1,2,2,1,1,1,1,1,1,2,0,3,380,4973,0
1509,1,0,0,0,9,1,0,1,0,0,2,0,0,0,0,1,2,1144,576,1
2742,1,0,0,0,63,1,2,0,2,2,2,2,0,0,2,0,0,994,3772,0
3077,1,0,1,0,40,1,0,0,2,0,2,0,0,0,2,0,1,729,1937,0
319,1,0,1,0,29,1,2,1,0,0,0,2,2,0,0,1,1,1427,2813,0
2929,1,0,0,1,35,0,1,0,2,2,0,2,0,0,1,0,3,551,1012,0
511,1,0,0,0,58,1,2,1,2,0,2,0,2,2,0,1,2,123,5094,0
5955,1,0,1,1,70,1,0,0,2,2,0,2,2,0,2,0,0,987,4095,0
2354,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,3,325,1572,0
4350,1,0,1,0,27,1,0,0,0,0,0,0,0,0,0,1,1,600,856,0
3518,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,322,1483,0
2283,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,1049,5570,1
764,1,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,3,331,534,0
543,1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,0,1320,6154,1
3129,1,0,1,0,68,1,2,1,0,2,2,0,2,0,1,1,0,1492,5269,0
5698,1,0,1,1,14,1,2,1,0,2,2,0,2,2,0,0,2,82,1773,1
2654,1,0,1,0,1,1,0,1,0,0,0,0,2,2,0,1,2,1412,6326,1
2758,1,0,0,0,45,1,0,2,1,1,1,1,1,1,0,0,3,338,178,0
5313,1,0,1,0,52,1,0,1,0,0,0,0,2,2,0,0,3,1391,4195,0
5070,1,0,0,1,29,1,0,1,0,0,2,0,2,0,1,1,2,1302,2636,1
3710,1,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,342,2065,0
4900,1,1,1,0,31,1,2,1,0,0,0,0,2,0,0,1,2,1313,2755,1
2206,1,1,1,0,53,1,2,1,0,2,2,0,0,2,0,1,0,1497,4507,1
2402,1,0,0,1,56,1,0,2,1,1,1,1,1,1,0,0,3,327,211,0
3668,1,0,1,0,15,1,0,0,2,0,0,0,2,0,1,1,0,842,675,0
6340,1,0,0,0,16,1,2,1,0,0,2,2,2,0,0,1,1,1529,1713,0
3904,1,0,1,1,28,1,0,2,1,1,1,1,1,1,0,0,3,349,5127,0
5057,1,0,0,0,72,1,2,1,0,0,0,0,0,0,0,1,2,1128,5638,0
1414,1,0,0,0,29,1,2,1,0,0,2,2,2,0,0,0,2,1502,2961,0
6359,1,0,1,1,51,1,0,1,0,2,0,2,0,0,0,0,2,1192,3615,0
230,1,0,0,0,50,1,2,1,2,2,0,2,2,2,2,1,1,150,4756,0
5478,1,0,1,0,48,1,0,1,2,2,2,2,2,2,2,1,2,120,4553,0
789,1,0,0,0,70,1,2,0,2,2,2,2,0,0,2,0,0,1012,4159,0
472,1,0,1,0,72,1,0,0,0,0,2,0,2,2,0,1,3,1020,4670,0
245,1,1,0,0,34,1,0,1,2,0,0,0,0,0,0,0,2,1118,2376,0
1536,1,0,1,1,66,1,0,0,2,2,2,2,2,0,2,1,0,1126,4482,0
4466,1,0,0,0,34,1,0,1,0,0,0,0,0,2,0,1,2,1202,2819,1
544,1,0,0,0,5,0,1,0,2,0,0,2,2,0,0,1,1,620,4892,1
6744,1,0,0,0,65,1,2,1,2,2,2,0,2,0,1,0,0,26,5580,0
6611,1,0,1,1,22,1,2,0,2,0,0,2,2,0,1,0,0,1000,1560,0
1606,1,1,1,1,70,1,0,1,2,0,2,2,2,2,2,1,1,76,5747,0
473,1,0,1,0,17,1,0,0,2,0,0,2,0,0,0,0,3,735,578,0
932,1,0,1,0,70,1,0,2,1,1,1,1,1,1,2,0,1,319,559,0
6261,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,0,342,541,0
3862,1,0,1,1,68,1,2,2,1,1,1,1,1,1,2,0,3,404,1314,0
2080,1,1,1,0,70,1,2,0,2,2,2,0,2,2,2,1,1,1281,4900,0
3218,1,0,0,0,65,1,0,1,0,2,2,0,0,0,1,0,1,1196,4538,0
1452,1,1,0,0,48,0,1,0,2,0,0,0,2,2,0,1,1,656,2213,0
3615,1,1,1,1,19,1,2,1,0,2,2,0,2,2,0,0,2,109,2354,1
217,1,0,1,0,63,0,1,0,2,2,2,2,2,0,2,1,0,795,3250,0
6411,1,1,1,0,12,1,0,1,0,0,0,0,0,0,0,0,2,1021,749,0
3299,1,0,0,0,65,1,2,1,2,2,2,2,2,2,1,1,1,293,6035,0
3256,1,0,1,1,58,1,0,0,2,2,2,2,2,2,1,0,0,1297,4404,0
5736,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,334,1607,0
5753,1,0,0,0,12,1,0,2,1,1,1,1,1,1,0,1,1,331,2863,0
4032,1,1,1,1,65,1,2,1,0,2,2,0,0,0,0,1,2,1292,4695,0
3936,1,0,0,0,72,1,0,0,2,0,2,2,0,2,0,1,0,984,4755,0
3360,1,0,0,0,5,1,0,1,0,0,2,0,2,0,0,1,2,1263,121,1
1406,1,0,0,1,63,1,2,2,1,1,1,1,1,1,2,1,1,402,1161,0
4407,1,0,0,1,71,1,0,2,1,1,1,1,1,1,0,0,3,340,1309,0
3916,1,0,1,1,12,1,0,1,0,0,0,0,0,0,0,0,3,1018,796,0
1443,1,0,1,0,23,1,0,0,0,0,2,2,0,0,0,1,3,779,973,0
4631,1,0,0,0,45,1,2,1,0,0,2,0,2,0,0,1,2,1445,3847,1
994,1,0,0,0,5,1,0,2,1,1,1,1,1,1,2,0,1,333,2331,0
3855,1,0,1,1,49,1,0,0,0,2,0,2,2,0,0,0,1,932,2918,0
4791,1,0,1,0,23,1,0,2,1,1,1,1,1,1,0,0,0,333,4142,0
332,1,0,0,0,41,1,2,1,0,2,2,0,2,0,1,1,1,1490,3761,0
3204,1,0,0,1,35,1,0,2,1,1,1,1,1,1,1,1,0,341,6224,0
5979,1,0,0,0,49,1,0,2,1,1,1,1,1,1,2,0,0,326,6496,0
4439,1,0,1,1,21,1,0,2,1,1,1,1,1,1,2,1,1,339,4114,0
3527,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1103,5722,1
3285,1,0,1,0,64,1,0,0,2,2,0,2,0,2,2,1,1,1003,3954,0
5495,1,0,0,0,3,1,0,1,0,0,0,2,0,0,0,1,2,1088,6381,1
752,1,0,1,1,67,1,0,0,2,0,2,2,0,2,0,1,1,1045,4329,0
2943,1,0,0,0,35,1,2,2,1,1,1,1,1,1,2,1,3,388,6495,0
4608,1,0,0,0,51,1,2,0,0,0,2,0,2,2,2,1,0,1160,3678,0
1144,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,504,3033,1
3977,1,0,1,0,60,1,0,1,2,2,2,2,2,2,2,1,1,190,5322,0
239,1,0,0,0,8,1,0,2,1,1,1,1,1,1,2,0,3,328,2456,0
3887,1,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,2,1110,6081,1
4913,1,0,0,1,6,1,0,0,2,2,2,2,0,2,2,0,0,1133,105,0
3412,1,0,1,1,12,1,0,0,2,2,0,2,0,0,2,0,3,837,549,0
2034,1,0,1,1,36,1,0,0,2,2,2,0,0,0,1,1,0,853,2171,0
3142,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,329,1490,1
6779,1,0,0,1,22,0,1,0,2,2,2,2,0,0,0,1,3,609,445,0
6057,1,0,0,0,11,1,0,0,0,0,0,2,2,0,0,1,1,878,185,0
4672,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,3,589,5258,0
1965,1,0,0,0,17,1,0,0,2,0,0,0,0,0,0,1,0,671,385,1
6527,1,0,1,1,56,1,0,0,0,2,2,0,0,0,0,1,3,769,2818,1
3880,1,0,1,1,19,1,2,0,0,0,2,2,2,2,1,1,1,1244,1712,0
1087,1,0,0,0,26,1,2,1,2,0,0,2,0,0,0,0,0,1351,2402,0
4274,1,0,0,0,40,1,0,2,1,1,1,1,1,1,1,0,0,310,6260,0
6933,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1011,5448,1
5159,1,0,0,0,72,1,2,1,0,0,0,0,0,0,0,1,2,1136,5400,0
437,1,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,1,249,6196,0
5014,1,1,1,0,69,0,1,0,0,2,2,0,2,2,0,1,0,721,3230,0
4374,1,0,1,1,69,1,0,2,1,1,1,1,1,1,2,1,0,325,700,0
2574,1,1,0,0,33,1,2,1,0,0,0,0,2,2,0,1,0,1505,3228,1
6035,1,1,1,0,63,1,2,1,0,2,2,2,2,2,1,1,2,204,5765,1
957,1,0,0,0,34,1,0,0,2,0,2,0,0,0,0,0,2,798,2101,0
6393,1,0,0,0,19,1,2,1,2,2,0,0,2,0,0,1,1,1443,1985,0
1616,1,0,1,1,49,1,0,2,1,1,1,1,1,1,2,1,3,321,213,0
1870,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,620,3819,0
5357,1,0,1,0,57,1,0,2,1,1,1,1,1,1,2,0,3,332,468,0
179,1,0,1,0,58,1,0,2,1,1,1,1,1,1,1,1,1,344,459,0
3559,1,0,0,0,20,1,0,2,1,1,1,1,1,1,2,0,1,330,3981,0
31,1,1,1,0,12,1,0,1,0,0,2,0,2,2,0,1,1,1502,1360,0
3653,1,0,1,0,32,0,1,0,2,2,0,2,2,2,2,1,0,847,1814,0
1330,1,0,1,0,15,1,0,0,2,0,0,2,0,0,1,1,1,788,533,0
2519,1,0,1,0,12,1,2,1,0,0,2,0,2,0,0,1,2,1426,1209,0
168,1,1,1,0,54,0,1,0,0,2,2,0,0,2,0,1,2,615,2300,1
2298,1,0,1,1,66,1,2,1,0,0,2,0,0,0,2,1,1,1188,4504,0
1451,1,0,0,0,10,1,2,0,2,0,2,0,2,0,0,0,3,1009,368,0
5141,1,0,0,0,45,1,0,2,1,1,1,1,1,1,0,1,3,318,6240,0
2741,1,1,0,0,45,1,0,1,0,0,0,0,2,2,0,1,2,1387,4039,1
6469,1,0,0,0,29,1,0,2,1,1,1,1,1,1,2,0,0,360,5545,0
4398,1,0,1,1,68,1,2,0,2,0,2,0,2,0,2,0,1,998,4096,0
3433,1,0,0,0,58,1,2,1,2,2,2,0,2,2,1,1,2,147,5220,0
2609,1,0,1,0,58,1,2,1,0,2,2,0,2,2,0,1,2,105,5077,1
1097,1,0,1,1,18,1,0,1,0,0,0,0,2,2,1,1,2,1405,1792,1
4864,1,0,1,0,69,1,2,1,0,2,2,2,2,2,1,1,0,236,5996,0
6485,1,0,1,0,61,1,0,1,2,0,0,0,0,0,0,1,3,1082,4034,0
4951,1,1,1,0,22,1,2,1,0,0,0,0,0,2,0,1,2,1285,1997,0
2759,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,326,1487,0
381,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,693,4232,1
4375,1,0,0,0,63,1,2,1,2,2,2,2,2,2,1,1,0,252,5706,0
6773,1,1,1,0,31,1,2,1,0,0,0,0,2,2,0,1,2,1445,3007,1
4446,1,1,0,0,23,1,0,1,0,0,0,0,2,0,0,1,2,1202,2251,1
3626,1,0,0,1,16,1,0,0,0,2,0,2,0,0,0,1,0,769,517,0
2029,1,0,1,0,64,1,0,1,2,2,0,0,0,2,1,1,1,1409,4951,1
2303,1,0,0,0,12,1,0,0,2,0,0,0,0,0,0,1,2,642,6368,1
3305,1,1,0,0,32,1,2,1,0,0,0,0,2,2,0,0,2,1487,3158,0
576,1,0,1,1,25,1,2,1,2,0,2,0,2,0,1,0,0,1547,2675,0
2542,1,0,0,1,29,1,0,0,0,0,0,2,2,2,1,1,3,1059,2140,0
6477,1,1,1,0,70,1,2,1,2,2,2,0,2,2,2,1,0,179,5985,0
4453,1,0,1,0,2,1,2,1,0,0,2,0,2,2,0,1,2,1556,77,1
592,1,0,1,1,60,1,2,0,2,2,2,0,2,2,2,0,1,1269,4515,0
3332,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,634,3906,1
5640,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,1196,5970,1
496,1,0,1,0,21,1,0,0,2,2,0,2,0,0,0,0,3,865,1320,0
2275,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2,1101,5721,1
5926,1,0,0,0,56,1,0,0,2,0,2,2,2,2,0,0,1,1177,4079,0
2477,1,0,0,0,23,1,0,1,2,0,0,0,0,2,0,1,3,1320,2091,0
5591,1,0,0,0,34,1,0,1,0,0,0,0,2,2,0,1,2,1366,3193,1
3187,1,0,1,1,28,1,0,1,0,2,2,0,2,0,0,1,2,1394,2688,0
6107,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,332,1493,0
4424,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,391,2043,1
6609,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,335,1608,1
6942,1,1,0,0,65,1,0,2,1,1,1,1,1,1,2,1,1,333,721,0
3277,1,0,1,1,5,1,0,2,1,1,1,1,1,1,1,0,3,333,1794,0
1002,1,0,1,1,34,1,0,1,0,0,0,0,0,0,0,1,3,1010,2457,0
3505,1,0,0,0,72,0,1,0,0,0,0,0,0,0,0,1,2,395,1496,0
4842,1,1,0,0,72,1,2,0,2,0,0,0,0,0,0,0,2,754,4186,1
4325,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,348,1621,0
2168,1,1,1,0,67,1,2,1,0,0,0,0,0,0,0,1,3,1099,4411,1
4144,1,0,0,0,14,1,2,1,2,0,2,0,2,2,0,0,3,71,1849,0
2748,1,0,0,0,34,0,1,0,0,0,0,0,2,2,0,1,2,600,1250,1
5995,1,0,1,1,70,1,0,1,2,2,2,2,2,2,2,0,0,222,6034,0
6547,1,1,1,0,65,0,1,0,2,2,2,0,0,0,2,1,2,568,2562,0
6168,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,1189,5965,1
61,1,0,0,0,57,1,2,1,0,2,0,0,2,0,0,1,0,1395,4530,0
2815,1,0,0,0,23,1,0,1,0,0,2,2,2,0,0,1,3,1364,2267,1
1634,1,0,1,1,60,0,1,0,2,2,2,0,2,2,2,0,2,828,3196,0
2302,1,0,1,1,69,1,2,0,2,2,2,2,2,2,2,1,3,1422,5257,0
5081,1,0,1,1,49,1,0,0,2,2,0,2,2,0,2,1,3,1013,3210,0
1652,1,0,1,0,9,0,1,0,2,0,2,0,0,0,0,0,3,484,4857,0
1038,1,0,1,0,52,1,0,1,0,0,0,0,0,2,1,1,2,1222,3884,0
5120,1,0,1,1,67,1,0,0,2,0,0,0,0,0,1,1,2,675,2873,1
3901,1,0,1,0,64,1,2,1,0,2,2,2,2,2,2,1,0,211,5810,0
6512,1,0,0,0,3,1,0,0,0,2,2,2,0,0,0,1,2,865,5427,0
4387,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,338,1611,0
852,1,0,0,0,12,1,2,2,1,1,1,1,1,1,0,0,3,393,5039,0
2095,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,1203,5975,1
4824,1,1,1,0,70,1,2,1,0,2,0,0,2,2,1,1,1,1535,5595,0
6638,1,0,0,0,53,1,0,2,1,1,1,1,1,1,2,0,3,348,226,0
642,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,1388,6302,1
865,1,0,1,0,34,1,0,1,0,0,2,2,0,0,0,1,3,1216,2772,1
3929,1,0,1,1,46,1,0,0,0,0,0,0,0,0,1,1,0,605,1866,0
3785,1,1,1,0,2,1,2,1,0,0,2,0,0,2,0,1,2,1393,6353,1
1499,1,1,1,0,61,1,2,1,0,2,2,0,0,2,0,1,2,1477,4971,0
6133,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,1,1,394,4143,0
1192,1,0,0,0,67,1,2,1,0,0,2,0,2,0,0,1,2,1406,4864,1
6490,1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,0,3,321,4397,0
5337,1,0,0,0,13,1,0,0,0,0,0,2,0,0,0,0,3,680,9,0
5948,1,0,1,0,68,1,0,1,2,2,0,2,0,0,2,0,0,1291,4708,0
3221,1,0,0,0,23,0,1,0,0,0,0,2,0,0,0,1,2,444,6469,0
4746,1,0,0,0,12,1,2,1,0,0,0,0,0,0,0,1,2,1141,1086,1
6266,1,1,0,0,27,1,2,1,0,2,2,0,0,0,0,1,1,1276,2356,1
247,1,1,0,0,7,1,0,1,0,2,0,0,0,0,0,1,2,1099,146,1
3753,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,3,433,2503,0
6819,1,1,0,0,51,1,2,1,2,0,0,0,2,2,0,1,2,1562,4651,1
6927,1,0,1,1,45,1,2,0,2,2,0,2,0,0,0,0,1,920,2742,0
4619,1,0,1,0,23,1,2,1,0,0,0,2,0,0,0,1,0,1197,2168,1
5650,1,0,1,1,33,1,0,0,2,2,2,0,0,0,1,0,2,843,1978,0
5508,1,0,1,0,68,1,2,2,1,1,1,1,1,1,2,0,0,399,1545,0
500,1,0,0,0,28,1,2,1,2,2,2,2,2,2,1,0,1,281,3337,0
1726,1,0,1,0,24,1,2,0,0,0,0,0,0,0,0,0,2,678,818,0
3703,1,0,0,1,72,1,0,2,1,1,1,1,1,1,1,0,3,335,1496,0
4028,1,0,0,0,60,1,0,1,2,2,2,2,2,2,2,0,1,173,5544,0
3805,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1051,5571,1
228,1,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,1,1395,2365,0
17,1,0,0,1,69,1,2,1,2,0,2,0,2,2,2,0,0,128,5704,0
5473,1,0,1,1,13,1,0,0,0,0,2,0,0,0,0,1,2,672,6417,0
1801,1,0,0,0,15,1,0,1,0,0,0,0,0,0,0,1,3,1013,884,0
2825,1,0,0,0,7,1,2,2,1,1,1,1,1,1,0,1,2,422,3247,0
960,1,1,1,0,67,0,1,0,2,0,0,0,0,0,0,0,0,445,1825,0
2821,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,1099,5719,1
2287,1,1,1,0,66,1,2,1,0,2,2,2,2,2,2,1,0,158,5676,1
2651,1,0,0,0,17,1,0,1,0,0,0,0,2,2,0,1,2,1404,1872,1
4832,1,0,1,0,26,1,0,0,2,2,0,2,0,2,1,0,3,1029,1833,0
3504,1,0,1,1,65,1,0,2,1,1,1,1,1,1,2,0,0,332,681,0
1103,1,0,1,1,50,1,2,1,0,2,0,2,2,2,1,1,2,98,4666,0
96,1,0,1,1,69,1,2,0,2,2,0,2,0,0,1,1,1,966,4018,0
3480,1,0,1,0,68,1,0,2,1,1,1,1,1,1,2,0,1,330,802,0
5453,1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,3,874,3231,0
4019,1,0,0,0,6,1,2,1,0,2,0,0,2,2,0,1,2,11,764,1
4713,1,0,1,1,54,1,2,1,0,0,2,2,2,2,1,1,0,95,4919,0
4192,1,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,0,336,3462,0
6404,1,0,0,0,48,1,2,1,2,0,2,2,2,2,2,1,2,175,4734,0
5381,1,0,1,0,26,1,2,1,0,0,2,0,0,0,0,1,2,1182,2098,1
3018,1,1,0,0,64,1,2,2,1,1,1,1,1,1,2,0,1,398,1158,0
5190,1,1,1,1,22,1,2,1,0,0,2,0,2,2,0,1,2,73,2561,0
4471,1,1,1,0,36,1,2,1,2,0,2,0,0,0,0,1,0,1274,2847,1
1321,1,0,1,1,57,1,0,0,2,2,2,2,0,0,1,1,0,949,3360,0
1595,1,1,0,0,12,1,0,1,0,2,0,0,0,0,0,1,2,1105,1128,1
2348,1,0,1,1,58,0,1,0,2,0,2,0,0,0,0,0,0,474,1744,0
5688,1,0,1,1,36,1,0,2,1,1,1,1,1,1,2,1,3,333,6281,0
4584,1,1,0,0,66,1,2,0,2,0,2,2,0,2,2,0,1,1093,4261,0
476,1,1,1,1,29,1,0,0,0,2,0,2,2,2,0,1,2,1132,2386,0
5458,1,0,0,0,67,1,0,0,2,0,0,0,0,0,0,1,3,700,3065,1
5965,1,0,1,1,30,1,0,0,2,0,2,0,0,2,1,1,1,906,1805,0
1775,1,1,0,0,62,1,2,1,2,0,2,2,2,2,2,1,2,170,5576,0
3820,1,1,1,0,70,1,2,1,2,2,2,2,2,2,0,1,1,231,6045,0
4288,1,0,0,1,23,1,2,1,0,0,2,0,0,2,0,0,2,1434,2226,1
487,1,0,0,0,70,1,2,0,0,2,2,2,2,2,2,1,0,1369,5047,0
3320,1,1,1,0,10,1,0,0,2,0,0,0,0,2,0,1,1,830,25,0
1115,1,0,0,0,33,1,2,0,0,0,0,2,0,0,2,1,1,740,1832,0
561,1,0,1,0,23,1,2,2,1,1,1,1,1,1,0,1,3,369,6295,0
1730,1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,2,844,4846,1
756,1,0,0,0,63,1,0,2,1,1,1,1,1,1,2,0,0,327,464,0
6849,1,0,1,1,24,1,2,1,0,2,0,2,0,0,0,1,0,1270,2229,0
2124,1,0,1,0,45,0,1,0,0,0,0,0,0,0,0,1,2,395,4,1
2229,1,0,1,0,34,1,0,1,0,0,0,0,0,0,0,0,2,1029,2541,0
6579,1,0,0,0,70,1,2,0,2,0,2,2,2,2,2,0,1,1285,4908,0
1926,1,0,1,1,44,1,2,1,0,0,2,0,2,2,0,1,2,1581,4119,1
1859,1,0,0,0,48,1,0,1,0,2,0,0,0,2,0,1,2,1306,3688,1
4755,1,0,1,0,27,1,0,1,0,0,0,0,2,2,0,0,2,1422,2560,0
6686,1,0,1,0,70,1,2,1,0,2,2,2,2,2,2,1,1,183,5895,0
3244,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,1,1,753,4690,0
6033,1,1,0,0,18,1,2,1,0,2,0,0,2,0,0,1,2,1376,1934,1
1893,1,0,0,1,8,1,2,0,2,2,0,0,0,2,0,1,2,1001,167,0
1657,1,0,0,0,29,1,2,2,1,1,1,1,1,1,0,1,2,408,6330,0
4885,1,1,1,0,70,1,2,1,0,2,2,2,2,2,2,1,0,218,6032,0
2098,1,0,0,0,12,1,2,1,2,0,0,0,0,2,0,0,3,1412,1254,0
5064,1,0,0,0,12,0,1,0,0,2,2,2,0,0,0,1,1,554,5865,1
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,348,1621,0
4354,1,0,0,0,55,1,0,2,1,1,1,1,1,1,2,1,0,337,358,0
828,1,0,1,1,57,1,0,1,0,2,2,0,2,0,1,0,2,1416,4531,1
5702,1,1,1,1,69,1,2,1,2,2,0,0,2,2,0,1,1,96,5797,1
3164,1,0,0,0,25,1,0,1,0,2,2,0,2,2,0,1,2,27,2733,0
6766,1,0,1,1,6,1,0,2,1,1,1,1,1,1,1,0,3,328,2684,0
6639,1,0,1,1,46,1,0,1,0,2,2,2,2,2,1,1,0,63,4389,0
5676,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,328,1489,0
2948,1,1,1,0,36,1,2,1,0,0,2,0,2,2,0,1,2,1581,3627,1
